board_ascii,legal_moves_uci,side_to_move
"--------
---r--pp
-------P
-k---K--
-bp-N---
-----P--
-PR---P-
--------",d7d8 d7f7 d7e7 d7c7 d7b7 d7a7 d7d6 d7d5 d7d4 d7d3 d7d2 d7d1 b5c6 b5b6 b5a6 b5a5 b5a4 b4f8 b4e7 b4d6 b4c5 b4a5 b4c3 b4a3 b4d2 b4e1 g7h6 g7g6 c4c3 g7g5,black
"-kr----r
-b---p--
---pp---
p-q-----
P-R-P--p
---P---P
----BQP-
-----RK-",h8g8 h8f8 h8e8 h8d8 h8h7 h8h6 h8h5 c8g8 c8f8 c8e8 c8d8 c8c7 c8c6 b8a8 b8c7 b8a7 b7a8 b7c6 b7a6 b7d5 b7e4 c5c7 c5a7 c5c6 c5b6 c5h5 c5g5 c5f5 c5e5 c5d5 c5b5 c5d4 c5c4 c5b4 c5e3 c5a3 c5f2 f7f6 e6e5 d6d5 f7f5,black
"---rr-k-
--p--pp-
p--b--qp
---Q----
P--PNPb-
-PP-----
---B--PP
R----RK-",d5a8 d5f7 d5b7 d5e6 d5d6 d5c6 d5h5 d5g5 d5f5 d5e5 d5c5 d5b5 d5a5 d5c4 e4f6 e4d6 e4g5 e4c5 e4g3 e4f2 d2e3 d2e1 d2c1 g1f2 g1h1 f1f3 f1f2 f1e1 f1d1 f1c1 f1b1 a1a3 a1a2 a1e1 a1d1 a1c1 a1b1 f4f5 a4a5 c3c4 b3b4 h2h3 g2g3 h2h4,white
"r--q--k-
ppp---pp
---p-n--
----pr--
-PP-----
P-NPQPP-
-------P
R----RK-",g8h8 g8f8 g8f7 d8f8 d8e8 d8c8 d8b8 d8e7 d8d7 a8c8 a8b8 f6e8 f6d7 f6h5 f6d5 f6g4 f6e4 f5h5 f5g5 f5f4 f5f3 h7h6 g7g6 c7c6 b7b6 a7a6 d6d5 e5e4 h7h5 g7g5 c7c5 b7b5 a7a5,black
"r--q-rk-
pQ--bppp
-----n--
--p---Nb
-P-pP---
-------P
P--P-PP-
RN--K--R",b7c8 b7b8 b7a8 b7e7 b7d7 b7c7 b7a7 b7c6 b7b6 b7a6 b7d5 b7b5 g5h7 g5f7 g5e6 g5f3 h1h2 h1g1 h1f1 e1f1 b1c3 b1a3 e1g1 b4c5 e4e5 b4b5 h3h4 g2g3 f2f3 d2d3 a2a3 g2g4 f2f4 a2a4,white
"--n-----
-pk----p
--------
--BPb---
----N---
P-------
-P--K---
--------",c8e7 c8a7 c8d6 c8b6 c7d8 c7b8 c7d7 e5h8 e5g7 e5f6 e5d6 e5f4 e5d4 e5g3 e5c3 e5h2 e5b2 h7h6 b7b6 h7h5 b7b5,black
"--k-----
---r-pQ-
p--b---p
--p--P--
--------
--N----q
PPP-----
-K--R---",c8d8 c8b8 c8c7 c8b7 d7d8 d7e7 d7c7 d7b7 d7a7 d6f8 d6b8 d6e7 d6c7 d6e5 d6f4 d6g3 d6h2 h3h5 h3f5 h3h4 h3g4 h3g3 h3f3 h3e3 h3d3 h3c3 h3h2 h3g2 h3h1 h3f1 f7f6 h6h5 a6a5 c5c4,black
"---k---r
--rnbpNp
pB------
-p--p-P-
--q-b--P
--N-----
PPPQ----
--KR---R",h8g8 h8f8 h8e8 d8c8 e7f8 e7f6 e7d6 e7g5 e7c5 e7b4 e7a3 e4a8 e4b7 e4g6 e4c6 e4f5 e4d5 e4f3 e4d3 e4g2 e4c2 e4h1 c4e6 c4c6 c4d5 c4c5 c4d4 c4b4 c4a4 c4d3 c4c3 c4b3 c4e2 c4a2 c4f1 h7h6 f7f6 a6a5 b5b4 h7h5 f7f5,black
"--------
-----p-k
----qP--
p-p--p--
-p---Q--
-P-----P
P--r--P-
-R----K-",h7h8 h7g8 h7g6 e6e8 e6c8 e6e7 e6d7 e6f6 e6d6 e6c6 e6b6 e6a6 e6e5 e6d5 e6e4 e6c4 e6e3 e6b3 e6e2 e6e1 d2d8 d2d7 d2d6 d2d5 d2d4 d2d3 d2g2 d2f2 d2e2 d2c2 d2b2 d2a2 d2d1 c5c4 a5a4,black
"--------
-------p
----k---
p---P---
--b-K---
p-------
-------P
--------",e4f4 e4d4 e4f3 e4e3 h2h3 h2h4,white
"r-----k-
-----r--
--p-p---
--bpP--p
p-------
--Bb-P--
P-N----P
RR-----K",c3a5 c3d4 c3b4 c3d2 c3b2 c3e1 c2d4 c2b4 c2e3 c2a3 c2e1 h1g2 b1b8 b1b7 b1b6 b1b5 b1b4 b1b3 b1b2 b1g1 b1f1 b1e1 b1d1 b1c1 f3f4 h2h3 a2a3 h2h4,white
"--------
p------p
---kp---
--p-----
--P-KP-P
---N----
P---R---
------r-",d6e7 d6d7 d6c7 d6c6 g1g8 g1g7 g1g6 g1g5 g1g4 g1g3 g1g2 g1h1 g1f1 g1e1 g1d1 g1c1 g1b1 g1a1 h7h6 a7a6 e6e5 h7h5 a7a5,black
"r----r-k
-b---p--
p---p-p-
-p-pn--N
--------
-B-----R
PPPq--PP
-----RK-",h8g8 h8h7 f8g8 f8e8 f8d8 f8c8 f8b8 a8e8 a8d8 a8c8 a8b8 a8a7 b7c8 b7c6 e5d7 e5c6 e5g4 e5c4 e5f3 e5d3 d2h6 d2g5 d2a5 d2f4 d2d4 d2b4 d2e3 d2d3 d2c3 d2g2 d2f2 d2e2 d2c2 d2e1 d2d1 d2c1 g6h5 f7f6 g6g5 a6a5 d5d4 b5b4 f7f5,black
"r-bqk--r
ppp--p--
--np-n--
--b-p-p-
--B-P--B
--NP----
PPP--PPP
R--QK--R",h4g5 h4g3 c4f7 c4e6 c4a6 c4d5 c4b5 c4b3 c3d5 c3b5 c3a4 c3e2 c3b1 h1g1 h1f1 e1e2 e1d2 e1f1 d1h5 d1g4 d1f3 d1e2 d1d2 d1c1 d1b1 a1c1 a1b1 e1g1 d3d4 h2h3 g2g3 f2f3 b2b3 a2a3 g2g4 f2f4 b2b4 a2a4,white
"--------
-------p
----qP--
--------
-----KPP
---k----
--------
-r------",f4g5 f4g3 f4f3 f6f7 h4h5 g4g5,white
"r--qk--r
pp-n-ppp
-b--p---
--Pp-n--
-----B--
-NPQPN--
PP---PPP
R---K--R",h8g8 h8f8 e8f8 e8e7 d8c8 d8b8 d8e7 d8c7 d8f6 d8g5 d8h4 a8c8 a8b8 d7f8 d7b8 d7f6 d7e5 d7c5 b6c7 b6c5 b6a5 f5e7 f5h6 f5d6 f5h4 f5d4 f5g3 f5e3 e8g8 h7h6 g7g6 f7f6 a7a6 e6e5 d5d4 h7h5 g7g5 a7a5,black
"r-----k-
pp---p-p
-nb-p-pB
--qRP---
------QP
--------
PPP---P-
--K-RB--",g8h8 a8f8 a8e8 a8d8 a8c8 a8b8 c6e8 c6d7 c6d5 c6b5 c6a4 b6c8 b6d7 b6d5 b6c4 b6a4 c5f8 c5e7 c5d6 c5d5 c5b5 c5a5 c5d4 c5c4 c5b4 c5e3 c5c3 c5a3 c5f2 c5c2 c5g1 e6d5 f7f6 a7a6 g6g5 f7f5 a7a5,black
